Word;EN title;EN Indication;EN Definition
ṭābu;ṭābu  [DÙG : ]  (adj.);[Moral life → Quality];"1) good , good-tasting , palatable , yummy , aromatic , fragrant , sweet , fresh ; 2) pleasant , pleasing , fine , satisfatory , proper , comfortable ; 3) kind , gentle , friendly , benevolent , happy , content , satisfied , gracious , well-meaning ; 4) auspicious , favorable , opportune , advantageous , beneficial , helpful , serviceable , useful , comfortable , nice , easy ; lā ṭābu : displeasing , inauspicious , at the wrong time / inopportune , insipid , tasteless , uncomfortable , unfavorable , unhealthy , unkind , useless ; ša ana epāši ṭābūni : practicable , viable ; šamnu ṭābu : sweet oil , perfume ;"
ṭarāru;ṭarāru  ();[Human → Body];"G stative : to be bearded ;"
ṭarīru;ṭarīru  ();[Human → Body];"a bearded person ;"
ṭarkullu;ṭarkullu;[Transport → Sea];"1) a mooring rope / painter ; 2) a mooring pole / bollard ; 3) a pole , a mast ;"
ṭarrūtum;ṭarrūtum  ();[Human → Body];"beardedness ;"
ṭātu;ṭātu  (also : ṭa ' tu);[City → Administration];"gift , bribe 1) : a bribe , a baksheesh ; 2) : a gift to a king , a volontary present to a king ; 3) : customs payment ; šāqil dāti(m) : a memeber of an influential group of persons ;"
ṭebû;ṭebû  [SUD : ]  (vb. u/u);[Transport → Sea];"G. to sink (v.i.) ; to be submerged, to drown D. to sink (v.t.), submerge ; to suppress a tablet, an affair; stat. : to be depressed ; : building into the ground : to sink ;"
ṭēbû;ṭēbû  (feminine : ṭēbītu);"1) : an underwater construction worker (?) ; 2) : ṭēbītu(m) : a ship with deep draught ;";Cf. ṭebû, ṭabiu
ṭēbūtu;ṭēbūtu;"beneficence / grace , goodness / blessings given , kindness ;";Cf. ṭābtu, ṭēbūtu, tābtānu
ṭeḫû;ṭeḫû  [TE : , DA : ]  (vb. e/e);"1) to come near , to come close , to approach 2) to accost , to approach sexually , to have sex with , to get laid with , to fuck 3) (D) to present / to make a gift ; 4) noun : immediate vicinity ;";Cf. ṭaḫû, ṭēḫi
ṭēhu;ṭēhu;"to accost / to approach boldly , to address boldly / aggressively ;";
ṭiābu;ṭiābu  [DÙG : , DÙG.GA : ]  (vb. a/i);"G. to be good, in good condition ; to be friendly (towards s.o. : +eli, ana) D. to make good, improve ; 2) to be / become useful , to be of service ;";Cf. ṭiābu, ṭubbātiš, ṭābu
ṭīru;ṭīru;;→ ṭūru
ṭubbātiš;ṭubbātiš;"comfortably ;";Cf. ṭiābu, ṭubbātiš, ṭābu, ṭūbu
ṭūbu;"ṭūbu  [DÙG : , DÙG.GA : ]  (n. ; tubbu)";[Moral life → Conscience];"1) goodness ; happiness , prosperity , free will ; 2) (especially plural) : good times , prosperity , good relations , peace ; 3) contentedness , satisfaction , comfort ; [ṭūbu libbi / kabatti] : ""well-being of the heart / liver"" , mental well-being , peace of mind , serenity ; [ṭūbu šīri] : physical well-being ;"
ṭulīmu;ṭulīmu  [BI.RI : ];[Human → Body];spleen
ṭupšarru;ṭupšarru  [(LÚ).DUB.SAR : , LÚ.UMBISAG : , (LÚ).A.BA : , LÚ.UMBISAG2 : , LÚ.GI.BÙR : ]  (n.);[Professions];"a scribe, a scholar, a learned man , an omen expert , a secretary , a registrar ; rab ṭupšarrī chief scribe, scribe of the king, of the city ; ṭupšar Enūma Anu illil astronomer, astrologer , star-gazer ;"
ṭurpu;ṭurpu  ();[Legal];"forcible removal / kidnapping (?) , seizure / taking by force / taking possession (?) ;"
ṭurru;ṭurru  [DUR : ]  (Sumerian origin);[Religion];"1) : binding , a knot in cloth, gold, reed ; 2) a bandage , a ribbon ; 3) divination / omens : a feature on liver / lung ; 4) a band on doors ; 5) string of amulet stones ; 6) also used in astronomy"
ṭurû;ṭurû;;→ ṭūru
ṭūru;ṭūru  [ŠIM.ḪAB : ]  ();[Country → Plants];"a medicinal plant ? : opopanax , opobalsam ;"
a ' lu;a ' lu  [GIŠ.DA : ]  ();[Human → Family];"a tribe , a confederation (?) ;"
a ' û;a ' û;[Human → Disease];
a/ina muḫḫi ... nasāku;a/ina muḫḫi ... nasāku;[Human → Speech];to impose (a task ...) on someone , to enjoin (a task ...) on someone
â;â;[Humanities → Language];
â;â;[Moral life → Feelings];
â;â;;→ ai
aʾālu;aʾālu;;→ eʾēlu
ab abi;ab abi;[Human → Family];grandfather
ab-abi;ab-abi  ( : ababim);[Human → Family];"grandfather , grandparents ; ab-ummi : maternal grandfather ; ab-abi plural word : grandparents ;"
abāku;"abāku  (vb. a/u ; )";"G. to lead away ; to take sth. to swh. ; +vent. : to fetch sth. ; ana kaspi abāku to buy Gt. to lead away D. to dispatch, forward sth. ; to push away, displace ; to shift work onto s.o. Š. to have s.o. bring s.o. N. to be led away";
abalu;abalu  ();;→ ablu
abālu;"abālu  [ḪÁD.A : ]  (vb. a/a ; )";G. to dry (v.i.), dry out D. to dry (v.t.) Dt. to get dried Š = D;Cf. ablu, ablūtu, ubbulu
abālu;abālu  ();;→ babālu
abālu;abālu  ();;→ apālu
abamātu;abamātu;[Humanities → Geography];": the sea ;"
aban gabê;aban gabê;[Nature → Minerals];"used in glass-making or as a medicine / salve : alum ;"
aban ḫālti;aban ḫālti;[Religion];childbirth amulet
aban lamassi;aban lamassi;[Religion];amulet stone
aban rāmi;aban rāmi;[Religion];love charm
aban suluppi;aban suluppi;[Country → Fruits];"a date-stone ;"
aban ṣerru;aban ṣerru;[Nature → Minerals];snake stone
aban šaddî;aban šaddî;[Nature → Minerals];"mountain rock ;"
aban šamê*;aban šamê*;[Sky → Climate];hailstone
abārāiu+;abārāiu+;[Colors];"leaden , lead-gray , livid , drab ;"
abarakkatu;"abarakkatu  [MUNUS.AGRIG : ]  (Sumerian origin ;)";[Professions];"1) stewardess , housekeeper ; 2) (divine title) ; 3) a courtesan ;"
abarakku;abarakku  [(LÚ).AGRIG : , IGI.2.DUB : ];[Professions];"1) a steward , a housekeeper , a (temple or household) administrator , a treasurer; 2) (later) : a high state official , a Treasurer (?) ; : abarakku rabû : Chief Steward , High Chamberlain ; 3) (divine title) ;"
abarakkūtu;abarakkūtu  [MUNUS.AGRIG : ];[Professions];"function of stewardess ;"
abaraša;abaraša  (adv., );[Moral life → Conscience];truly, certainly
abarša;abarša;[Moral life → Conscience];
abāru (2);abāru (2)   (n.);"1) a kind of clamp ; 2) embrace, physical strength, energy ; bēl/gāmer/ša abāri : a wrestler ;";Cf. abāru (3)
abāru (3);"abāru (3)  ( ; preterit : ibir)";"1) G: magic ; arms, persons, stars ... : to embrace intensely , to bind , to grasp / to clasp , to wrestle (?) ; 2) D : legal : to accuse / to denounce somebody ;";Cf. ibrūtu, ibrētu, abāru (3), ibru, abāru (2)
abāru;abāru  [A.GAR5 : , A.BÁR : ]  (n.);[Nature → Metals];"lead (metal) ; annuku abāru lead ; (at Aššur) kisal abāri Lead Courtyard (?)"
abasigga;abasigga  (Sumerian origin );[Humanities → Geography → Rivers];"receding water ;"
abašlu;abašlu;[Humanities → Geography];land-surveyor team (eight or nine people)
abašmu;abašmu;[Nature → Minerals];"moonstone ;"
abattu;"abattu  (n. ; )";[Nature → Minerals];"1) gravel / river-gravel ; 2) pestle ; 3) irrigation pipe ; 4) abatti / agurru / abat gurru : an irrigation pipe of baked bricks / a sort of flour ; 5) : a stone of carob-bean ;"
abattu;abattu;[Army → Weapons];"a slingstone ;"
abātu (2);abātu (2)  (vb. a/u);G. to flee, abandon, run away N. to escape, desert;Cf. nābutu, na ' butu, nābudu, abātu (2)
abātu;abātu  (vb. a/u);"G. to destroy ; to ruin (economy) D. to destroy completely Dt. to be completely destroyed Š. to make destroy N. to be destroyed ; to collapse, fall down";See also : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû
abātu;abātu  (vb.);G. (a/u) to abandon, flee from (a place) N. (i/i) [ZÁḪ : ] to flee Ntn. to run away regularly;
abbūtu ṣabātu;abbūtu ṣabātu;[Human → Speech];"to intercede for , to speak for (?) ;"
abbūtu;abbūtu;[Human → Family];"paternity , being a father ;"
abdu;abdu  (West Semitic origin );[Professions];"servant , slave ;"
abgallu;abgallu;;→ apkallu
abi ašlim;abi ašlim;[Professions];"a land surveyor ;"
abiktu;abiktu  [BAD5.BAD5 : ]  ();[Army];"defeat ; abikta šakānu to inflict a defeat ; lipî abiktu : plante : ""the fat of defeat"" (name of a plant) ;"
abīuru;abīuru;[Country → Plants];"a pomegranate-like turnip ;"
abkigētu;abkigētu  (Sumerian origin);[Animals → Domestic];"cows ;"
abkigu;"abkigu  ( literary ; only in plural abkigētu (Sumerian origin))";[Animals → Domestic];": a cow ;"
ablu;ablu  [ḪÁD.A : ]  (adj.);"meat, wood, asphalt ... : dry , dried , arid ; plual : ablūtu : hay (?) ;";Cf. abālu
ablūtu;ablūtu  (n.);[Sky → Climate];"1) aridity , drought ; 2) hay (?) ;"
abnānu;abnānu;[Nature → Minerals];"rocky ;"
abnu mišil uqurtu *;abnu mišil uqurtu *;[Nature → Minerals];semi precious stone
abnu ṣābittu *;abnu ṣābittu *;[Nature → Minerals];magnet
abnu;abnu  [NA4 : ]  (n. m. & f.);[Nature → Minerals];"1) a stone , a rock ; 2) a gem ; aban nisiqtu : a choice stone , a precious stone , a gem ;"
abrakkatu;abrakkatu;[Professions];
abrakkūtu;abrakkūtu;[Human → Family];"courtesanship , being a mistress / an escort girl (?) ;"
abrātu(m);abrātu(m);[Human being];
abrātu;"abrātu  (n. f. pl. ; )";[Human → Family];mankind, humanity, populace
abriš;"abriš  (adv. ; )";[Nature];like a brushwood pile
abru (1);"abru (1)  ( ; literary)";"1) strong (?) / robust (?) ; 2) feminine plural : abrātu(m) : populace , humanity ;";Variants : abrātu(m)
abru (2);abru (2)  ();[Animals → Birds];"1) a wing of a bird ; 2) a fin of a fish ;"
abru (3);"abru (3)  [IZI.ḪA.MUN : ]  (n. ; ; )";[Nature];"a brush pile / a pile of brushwood for fuel ;"
abru (4);abru (4);[Religion];"a kind of priest ;"
abrūtu;abrūtu  ();[Religion];"abru (4) priethood ;"
abšānu;"abšānu  (n. ; )";[Country → Agriculture];yoke, harness
abšu;"abšu  ( ; plural : abšena)";[Country → Plants];"a lentil ;"
abtātu;"abtātu  (n. pl. ; )";[City → Buildings];ruins
abtu;abtu  ();[City → Buildings];"destroyed ; n. f. pl. abtātu : ruins"
Abu;"Abu  [ITI.NE.(NE.GAR) : ]  (n. ; )";[Time → Month];Ab, fifth month of the year (approximately July-August)
abu;abu  [AD : ]  (pl. abbū, abbāʾū, st. constr. abi, ab);[Human → Family];"1) a father ; 2) an ancestor , a forefather ;"
abūbāniš;abūbāniš  ();[Sky → Climate];like a flood
abūbiš;abūbiš;[Sky → Climate];
abūbu;abūbu  [A.MA.RU : ]  ();[Sky → Climate];"1) a flood / flooding , a deluge , a violent spate , an inundation ; ša pān abūbi : antediluvian , prehistoric , dating back before the Flood / flood ; : ša lām abūbu : antediluvian ; til abūbu : ruin mound from the Flood ; 2) (name of the / a Flood monster) ; 3) an emergency , an exigency (?) ; 4) 4) divine title : violent spate / torrent ;"
abuḫšinnu;abuḫšinnu;[Country → Agriculture];a cereal harvested when green
abullu;abullu  [KÁ.GAL : ]  (n. fem.);"1) city-gate, gateway (city, palace) ; 2) a milestone ;";See also : bābu, maṣṣar bābi, ša pān bābi, atû, bēt abulli, abulmaḫḫu, abultannu
abulmaḫḫu;abulmaḫḫu  (abullu + Sumerian maḫ);[City → Buildings];":a high gate ;"
abultannu;"abultannu  [LÚ.ABUL : ]  (n., ; abullu + Hurrian suffix)";[Professions];gate-keeper
abunnatu;"abunnatu  [LI.DUR : ]  (n. fem. ; )";[Human → Body];"navel, umbilical cord ; center ; socket ; hub ;"
abunnutu;abunnutu;[Science → Natural sciences];"umbilical cord ;"
aburriš;"aburriš  (adv. ; ; literary )";[Country → Agriculture];"in a green meadow , in safety / safe , in properity / in affluence ;"
aburru (1);"aburru (1)  (n. ; )";[Country → Agriculture];"pasture, water-meadow , figurative sense : situation of a contented populace ;"
aburru;aburru;[Humanities → Geography → Countries];
abūsātu;"abūsātu  (n. pl. ; )";[Human → Body];forelock
abussu;abussu;[City → Buildings];
abūsu;"abūsu  (n. ; pl. f. ; )";[City → Buildings];"storehouse ; stable"
abutu;"abutu  (pl. abātē ; )";;→ awātu
abutu;abutu  (feminine word);[Human → Speech];"word , matter , affair , thing , statement , motif , subject , topic ; abat šarri : la parole du roi ; abutu ana abiti : adverb : verbatim , word for word , quote ; abutu kunnutu : a sure thing , a certainty , a fact ; abutu qallissu : a trifle , a mere detail , something not important ; bēl abiti : an adversary ; lā mūdû abiti : an ignorant , an ignoramus ; libbi abiti/loc] : the central issue , the crux (of an argument) , the main point , the heart of the matter ; mūdê abiti : adjective : well-informed , in the loop ;"
adagurru;"adagurru  [DUG.A.DA.GUR5 : , DUG.A.DA.GUR4 : , DUG.A.DA.KUR : ]  (n. ; )";[Religion];a container used in cult for libations
adaguru;adaguru;[Religion];
adakanni;adakanni  ();[Time];
adakurru;adakurru;[Religion];
adammūmu;"adammūmu  (pl. f. ; )";[Animals → Insects];"a wasp ;"
adanniš adanniš;adanniš adanniš;[Measures];"exceedingly , exceptionally , extremely , ;"
adanniš;"adanniš  (adv. ; )";"very / quite , very much, greatly, extremely, exceedingly , intensely , exceptionally , remarkably / notably ;";Cf. dannu, adanniš adanniš
adannu;adannu;[Time];"1) a term , a deadline , a date , a time ; 2) a period , a cycle , a phase , a tract ; ša adanni : periodical / regular ; šikin adanni : a time-frame ; ūm adanni : a fixed date ;"
adānu;"adānu  [UD.DUG4.GA : , U4.SUR : ]  (pl. f. ; )";[Time];"1) fixed date, time limit ; ūm adāni fixed day ; ina lā adāni at the wrong time ; 2) time passing ; ina ūmīšu / inūmīšu / inūšu : at that time ; ṣâti : distant time ; adverb : urkītu : at a later time ; noun : arkītu : the later time ; minâti : normal time ; ūmu etāqu (Š) : to pass time , to spend time ; qudmu : primeval time ; mussa ' ' ītu : spare time ; labāriš ūmē : with the passage of time ; ṭuppišu : within the agreed time ; ākil simini : time-consuming ; ultu ulla : long time ago ; simunu : time for ; šikin adanni : a time-frame ; ina tarṣi / kīma simin : at the time of ; šēzubtu : time off , leisure time ; šinīšu šalāšīšu : a couple of times , several times ; šalāšīšu arbīšu : several times ;"
adappu (2);adappu (2)  ();[City → Hotel];"1) a horizontal crossbeam in buildings (of timber) ; for doors (of metal) ; 2) a board (?) ;"
adappu;adappu  ();[Humanities → Geography → Rivers];
adāru (3);"adāru (3)  [GIŠ.ILDAG2 : ]  (n. ; )";[Country → Trees];poplar
adāru;adāru  (vb. a/u);"G. to be dark, become obscured D. to darken Dt. to become gloomy Š. to darken N. to become dark ; to become eclipsed (Astronomy)";Variants : ḫadāru
adāru;adāru  (vb. a/u);G. to be afraid, fear D. to frighten N. to worry about;
adbaru;adbaru  [(NA4).AD.BAR : ];[Nature → Minerals];le basalte
addānika;addānika;[Human → Senses];"attention ! / your attention please ! ; lētu nadû / na ' ādu : to pay attention ; ēnē šakānu : to pay attention , to give one's attention to (with the eyes) ; puqqu : (D) faire attention , prêter attention ; uznu ana X šakānu : to be all ears , to pay attention to (with the ears) , to listen carefully , to harken , to heed ;"
addāniqa *;addāniqa *;Please !;
addanniš;addanniš;;→ adanniš
addāru diri;addāru diri;[Time → Month];intercalary Adar, thirteenth lunary month (occurring every two to three years)
Addaru;Addaru  [ITI.ŠE.(KIN.KUD) : ]  (n.);[Time → Month];"Adar, twelfth month (approximately February-March) ; Addaru maḫrû first Adar ; Addaru arkû intercalary Adar"
addurāru;addurāru;[Legal];
adê ṣabātu;adê ṣabātu;[Army → Military];"1) G : to join a treaty ; 2) Š : to impose a treaty ;"
adê;adê;[Government];"a treaty , a covenant , a pact , a compact , a pledge of allegiance ; bēl adê : a confederate , a guardian / signatory (?) of a treaty ;"
adi , adu , ina;adi , adu , ina;[Time];"while , during ;"
adi akanni;adi akanni;until now , so far;
adi bēt , adu bēt;adi bēt , adu bēt;[Time];until
adi bēt;adi bēt;until , whereto , till;
adi darûni;adi darûni;[Human → Speech];: as long as (heaven and earth) last
adi maḫru;"adi maḫru  ( ; inscriptions royales assyriennes)";up to , in the direction of , towards;See also : maḫar, ištu maḫru, maḫrātu, maḫriš, maḫrû (1)
adi;adi  [EN : ];"until, as far as, (up) to, together with, including, plus
adi GN until GN ; adi muḫḫīya to me ; adi mešli urḫi until the middle of the month ; adi emūqēšu together with his troops";Variants : adu
adiakanni;adiakanni  ();[Time];
adiānu;adiānu;[Time];
adikanna;adikanna  ();[Time];till now, so far
adīna;adīna  ();[Time];
adinakanni;adinakanni  ();[Time];
adīni lā;adīni lā;[Time];"not yet ;"
adīni ul;adīni ul;"not yet ;";
adīni;adīni;[Time];"so far, till now / yet ; with negation : not yet ;"
adīriš;adīriš  ();[Moral life → Feelings];fearfully
adīriš;adīriš;[Human → Hygiene];in fear, fearfully
adīru;"adīru  (n. ; )";[Moral life → Feelings];fear, apprehension
admūmu;admūmu;[Animals → Insects];
adnāti;adnāti;[Humanities → Geography];"a world (?) / the world (?) ;"
adnātu;"adnātu  (n. pl. ; )";[Humanities → Geography];"the world , people ;"
adnu;adnu;[Religion];
adrak;adrak;[Moral life → Feelings];"sorry ;"
adru;adru  ();[Moral life → Feelings];"1) dark, gloomy , somber , sad , dreary , mournful , glum , sullen , cheerless , unhappy , bleak , crabby + , grouchy , grumpy , sulky , surly ; 2) (textiles) dark ;"
adru;"adru  (n. ; pl. m. & f. ; )";[Country → Agriculture];"threshing floor ; threshing time (pl.)"
adu muḫḫi;adu muḫḫi;[Time];until
adu;adu;;→ adi
adû;"adû  (pl. adû, adê ; )";[Government];"1) a treaty ; adê šakānu to establish a treaty ; adê tamû to swear a treaty ; adê naṣāru to keep a treaty ; bēl adê vassal ; 2) : now ;"
aduakanni;aduakanni  ();[Time];
adūgu;"adūgu  ( ; Sumerian origin)";[Feeding → Cooking];"an oven ;"
adunakanni;adunakanni  ();[Time];
adurtu;adurtu;[City];"a village ;"
agadibbu;agadibbu  (Sumerian origin );[Country → Agriculture];"hand seeder-plough ;"
agakku;agakku  (Sumerian origin );[Feeding → Food];"whey ;"
agammu;agammu  ();[Humanities → Geography];"a marsh, a lagoon ;"
agāmu;"agāmu  (vb. ; )";[Moral life → Feelings];G. to be furious D. stat. : to be infuriated
agāmu;agāmu;[Sky → Climate];
agana;agana  ();"well now , come on ! ;";Cf. gana, ingana, magana
agannu;"agannu  (n. ; pl. f. ; )";[Feeding → Cooking];"a large bowl , a cauldron , an amphora ;"
agannû;"agannû  (adj. dem. ; )";this;
agap īni;agap īni;[Human → Body];"an eyelash ;"
agarinnu;agarinnu;[Human → Family];"a mother ;"
agāru;agāru  (vb. a/u);[Professions];G. to hire, rent D = G
agasalakku *;agasalakku *;[Army → Weapons];kind of axe
agašgû;"agašgû  (n. ; )";"youngest son ; junior, novice";
aggannu;aggannu  ();[Feeding → Cooking];
aggiš;"aggiš  (adv. ; )";furiously;Cf. aggu
aggu;"aggu  (adj. ; )";[Moral life → Feelings];furious
aggullu;aggullu;[Country → Agriculture];
āgilu;āgilu  ();[Professions];"a towman ;"
āgirtu;āgirtu  ();[Human being];"a female hirer , a she-boss / a mistress ;"
agirtum;agirtum  ();[Human being];"a hired maid-servant ;"
āgirum;āgirum  [LÚ.ḪUN : ]  ();[Human being];"a hirer ;"
agittû;"agittû  ( ; Sumerian origin)";"1) a headband ; 2) a bandage ;";See also : agittû, qaqqadû
Agru;Agru  [ḪUN.GÁ : ]  ();[Sky → Astronomy → Constellations → Zodiac];Aries (Ram)
agru;agru  [LÚ.ḪUN.GÁ : , ERIN2.ḪUN.GÁ : , LÚ.A.GAR : ]  (pl. agrū, agrūtu, agarrūtu);[Professions];"1) hired man , a hireling ; 2) constellation : [MUL.LÚ.ḪUN.GÁ : ] : Aries ;"
agrūtu;agrūtu;[Industry];"1) : a hiring contract ; 2) : wages ;"
agû (1);agû (1)  [AGA : ]  (Sumerian origin);"1) crown, tiara ; 2) planets ... : corona ; 3) omens : : circle of oil / incense ; 4) round an axe :a ring / a band ;";Cf. agasalakku
agû (2);agû (2)  [A.GI6.A : ]  ([A.GU4 : ] / [A.GA : ]);"1) river : flood , wave ; 2) figurative sense ; deities, demons ... : wrath / anger ;";Cf. egû (4)
agû;agû  [A.GI6.A : , A.GU4 : , A.GA : ]  ();[Sky → Climate];"wave, flood ; wrath, anger (gods, demons)"
agugillu;"agugillu  ( ; Sumerian origin)";[Religion → Magic];"a sorcerer ;"
agugiltu;agugiltu  ();[Religion → Magic];"a sorcerer ;"
aguḫḫu;"aguḫḫu  ( ; plural : aguḫḫena ; Hurrian origin (?) ;)";[Clothing];"a sash , a belt ;"
agūnu;agūnu;[Clothing];": a tiara ;"
agur uqnî *;agur uqnî *;[City → Buildings];blue-glazed brick
agurru;"agurru  [SIG4.AL.ÙR.RA : , SIG4.AL.UR5.RA : ]  (n. m. & f. ; )";[City → Buildings];baked brick
agurrum;agurrum  [SIG4.AL.ÙR.RA : ];"1) a baked brick , a slab / a building block ; 2) [SIG4.AL.UR5.RA : ] : mathematics : a measure unit ; agurrum uqnî elleti : a blue-glazed brick ; agurrum ša atbari / pēle pesê / ašnugalli : a building block of basalt / white limestone / alabaster ; agurrum kaspi ebbi : a slab of pure silver ; 3) : an impost / lower stone in an arch (?) ;";
agurrutu;agurrutu  ();[Animals → Domestic];
aḫ abi;aḫ abi;[Human → Family];uncle , father' s brother
aḫ ummi;aḫ ummi;[Human → Family];"maternal uncle , mother' s brother ;"
aḫ-abi;aḫ-abi;[Human → Family];"a paternal uncle ; aḫ-ummi : a maternal uncle ;"
aḫ-ḫur;aḫ-ḫur;": (t)hereafter ; else , furthermore";See also : ana ḫur, ḫurri, ḫur
aha aha;aha aha  ();[Numbers];"one by one (?) , arm in arm (?) / side by side (?) ;"
aḫāiš apālu;aḫāiš apālu;"Gtn : to reciprocate , to do likewise / to feel the same / to respond in the same way , to give in response ;";
aḫāiš ṣabātu;aḫāiš ṣabātu;[Army → War];"to join forces ;"
aḫāʾiš;aḫāʾiš  (adv.);"together , each other , one another ; : ahā ' iš ṣabātu : to join forces , to unite , to pool one's armies / forces ; ištu / itti aḫā ' iš : together ; urki aḫā ' iš : one after the other , in line (?) ; ana aḫā ' iš : one another , together ;";Cf. aḫu, aḫamma, aḫānu (1), aḫāmiš, aḫîš
aḫāmiš;aḫāmiš;": each other , one another , mutually ; pūt aḫāmiš našû : they stand security mutually , they protect each other ; kī aḫāmiš : together , at the same time ; itti aḫāmiš : together ; arki aḫāmiš : one after the other ; ana (muḫḫi) aḫāmiš : together , in unison ; ana pāni / tarṣi aḫāmiš : face to face ; meḫret aḫāmiš : in the same way ;";Cf. aḫāʾiš, aḫamma, aḫānu (1), aḫāmiš, aḫîš
aḫamma;aḫamma  ();apart, separately;Cf. aḫu, aḫāʾiš, aḫānu (1), aḫāmiš
aḫammu;aḫammu  ();;→ aḫamma
aḫannâ;aḫannâ  ();[Humanities → Geography → Rivers];"on this side, on this bank ;"
aḫannumma;aḫannumma  ();;→ aḫennâ
aḫānu (1);aḫānu (1)   ();[Humanities → Geography];"to another place , elsewhere ;"
aḫāru;aḫāru  (vb.);"G. stat. : to be late, delayed D. to delay sth (trans.) ; to stay behind, delay (intrans.) ; stat. : to be overdue Š. to make late";Cf. aḫrītu, aḫrâ, aḫrûtu, aḫrâtaš, aḫrītiš, tēḫirtu, uḫurrā ' um, uḫrû, uḫḫurtu, uḫḫuru, aḫurrû
aḫāt abi *;aḫāt abi *;[Human → Family];aunt , father' s sister
aḫāt aḫi *;aḫāt aḫi *;[Human → Family];brother' s sister
aḫāt ummi *;aḫāt ummi *;[Human → Family];aunt , mother' s sister
aḫātatu;aḫātatu  ();[Human → Family];little sister
aḫattu;aḫattu  ();[Human → Family];
aḫātu (2);aḫātu (2);[Humanities → Geography];"1) (river, sea) : a bank , a shore , a beach (?) ; 2) : the sleeves (of a garment) ; 3) (moral transgression) : the limit (?) / the line -drawn- (?) ;"
aḫātu;"aḫātu  [NIN : ]  (n. fem. ; pl. aḫḫātu, aḫḫuātu)";[Human → Family];"sister ; aḫātu ... aḫātu the one ... the other"
aḫātūtu;aḫātūtu;[Human → Family];sisterhood
aḫāzu;aḫāzu  (vb. a/u);[Human → Family];"G. to take, seize, to capture ; to marry ; to learn ; to acquire Gt. to be connected with ; to be well versed in sth. D. to mount, plate, inlay ; to marry Š. to make s.o. take sth. ; to make s.o. marry ; to make s.o. learn, to instruct, to indicate to s.o. ; to ignite, set fire to sth. Št1. to be instructed Št2. to ignite Štn. to instruct, inform s.o. repeatedly N. to marry each other ; to catch, spread (fire)"
aḫê;"aḫê  (adv. ; )";separately, by itself;See also : aḫennâ
aḫennâ;"aḫennâ  (adv. ; )";each separately, singly;Variants : aḫannumma, aḫennû
aḫennû;aḫennû;;→ aḫennâ
aḫertu;"aḫertu  (n. f. ; )";[Science → Mathematics];remainder
