Word;FR title;EN title;FR Indication;EN Indication;FR Definition;EN Definition
-(aš)šu;"-(aš)šu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(aš)šu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à lui, pour lui, envers lui, vis-à-vis de lui;for him, to him, towards him;;
-(aš)šunu;"-(aš)šunu  (suffixe pronominal accentué / datif ; l'action se fait sur / pour le sujet)";"-(aš)šunu  (pronominal suffix accentuated / dative ; action carried out on / for the subject)";à eux (masculin pluriel), pour eux, envers eux, vis-à-vis d'eux, à leur profit / encontre;for them (masculine plural), to them, towards them, to their profit / harm;;
(ša) abni;(ša) abni;(ša) abni;[Nature → Minéraux];[Nature → Minerals];"rocheux , rocailleux , de roc ;";"rocky ;"
(ša) ēṣi;(ša) ēṣi;(ša) ēṣi;[Campagne → Arbres];[Country → Trees];"boisé , ligneux , de bois ;";"woody ;"
(ša) kušīri;(ša) kušīri;(ša) kušīri;[Industrie];[Industry];"utile , avantageux (?) ;";"useful ;"
(ša) ṭupšarrūti;(ša) ṭupšarrūti;(ša) ṭupšarrūti;[Lettres → Langage];[Humanities → Language];"de scribe , relatif à la fonction de scribe / secrétaire , clérical ;";"scribal , clerical ;"
(w)arāqu(m);(w)arāqu(m)  [SIG7 : ];(w)arāqu(m)  [SIG7 : ];[Couleurs];[Colors];"1) être vert , être jaune , verdir , jaunir , devenir vert / jaune ; 2) visage, liquide, fruit, étoile ... : pâlir , devenir pâle ; : Š : dorer ;";"1) to be(come) green / yellow ; 2) face, fluid, fruit, star ... : to become pale , to pale , to turn wan ; : Š : to gild ;"
(w)erû;(w)erû  [URUDU.MEŠ : ]  ( : eru ' um : [URUDU.ḪI.A : ] / [NA4.URUDU : ]);(w)erû  [URUDU.MEŠ : ]  ( : eru ' um : [URUDU.ḪI.A : ] / [NA4.URUDU : ]);[Nature → Minéraux];[Nature → Minerals];"le cuivre ; : šad erû le minerai de cuivre / cuivre des montagnes[NA4 : ] , [NA4.URUDU : ] ;";"copper ; : šad erû copper ore / mountain [NA4 : ] copper , [NA4.URUDU : ] ;"
*iššû;*iššû  (pronom possessif 3ème personne singulier 3rd person singular possessive pronoun);*iššû  (pronom possessif 3ème personne singulier 3rd person singular possessive pronoun);le sien (à lui, -à elle ?-);his, (hers ?);;
ṭabiu;ṭabiu;ṭabiu;[Transport → Maritime];[Transport → Sea];"enfoncé , creux (?) , bateau ... : coulé / submergé ;";"sunken , hollow (?) , boat ...? : sunk / submerged ;"
ṭābtānu;ṭābtānu;ṭābtānu;[Vie morale → Qualités];[Moral life → Quality];"1) faiseur de bien , bienfaiteur , généreux ; lā ṭābtānu : malfaisant , malveillant , felon , coupable , délinquant ; 2) nom : un bienfaiteur , un mécène (?) , un protecteur (?) ;";"1) benefactor , bounteous , charitable , doer of good , generous , liberal , open-handed ; lā ṭābtānu : malefactor , criminal , felon , evil-doer , wrong-doer , villain , culprit , miscreant , offender ; 2) noun : a benefactor , a sponsor (?) ;"
ṭābu;ṭābu  [DÙG : ]  (adj.);ṭābu  [DÙG : ]  (adj.);[Vie morale → Qualités];[Moral life → Quality];"1) bon, agréable, fin , exquis , qui a bon goût , délicieux , aromatique / qui sent bon , doux , frais ; 2) plaisant , agréable , satisfaisant , convenable , confortable ; 3) gentil , amical , sympathique , content , satisfait , bienveillant , gracieux , bien-intentionné , favorable , opportun -moment- ; 4) favorable , opportun -moment- , avantageux , profitable , utile , facile ; lā ṭābu : déplaisant , mal-à-propos / tombant au mauvais moment / inopportun , insipide , sans goût / saveur , inconfortable , malsain , pas gentil / méchant , inutile ; ša ana epāši ṭābūni : praticable , viable ; šamnu ṭābu : huile parfumée , un parfum ;";"1) good , good-tasting , palatable , yummy , aromatic , fragrant , sweet , fresh ; 2) pleasant , pleasing , fine , satisfatory , proper , comfortable ; 3) kind , gentle , friendly , benevolent , happy , content , satisfied , gracious , well-meaning ; 4) auspicious , favorable , opportune , advantageous , beneficial , helpful , serviceable , useful , comfortable , nice , easy ; lā ṭābu : displeasing , inauspicious , at the wrong time / inopportune , insipid , tasteless , uncomfortable , unfavorable , unhealthy , unkind , useless ; ša ana epāši ṭābūni : practicable , viable ; šamnu ṭābu : sweet oil , perfume ;"
ṭarāru;ṭarāru  ();ṭarāru  ();[Humain → Corps];[Human → Body];"G statif : être barbu , avoir une barbe / porter une barbe ;";"G stative : to be bearded ;"
ṭarīru;ṭarīru  ();ṭarīru  ();[Humain → Corps];[Human → Body];"un barbu , une personne avec une barbe ;";"a bearded person ;"
ṭarkullu;ṭarkullu;ṭarkullu;[Transport → Maritime];[Transport → Sea];"1) une amarre , une aussière ; 2) un bollard , une bitte / un poteau d'amarrage ; 3) un poteau , un mât ;";"1) a mooring rope / painter ; 2) a mooring pole / bollard ; 3) a pole , a mast ;"
ṭarrūtum;ṭarrūtum  ();ṭarrūtum  ();[Humain → Corps];[Human → Body];"le fait d'être barbu , le port de la barbe / la pilosité au menton ;";"beardedness ;"
ṭātu;ṭātu  (aussi : ṭa ' tu);ṭātu  (also : ṭa ' tu);[Ville → Administration];[City → Administration];"1) : un pot de vin , bakshish ; 2) : un cadeau à un roi , un présent volontaire / de bonne foi à un roi ; 3) : paiement des droits de douane ; šāqil dāti(m) : membre d'un groupe influent ;";"gift , bribe 1) : a bribe , a baksheesh ; 2) : a gift to a king , a volontary present to a king ; 3) : customs payment ; šāqil dāti(m) : a memeber of an influential group of persons ;"
ṭebû;ṭebû  [SUD : ]  (vb. u/u);ṭebû  [SUD : ]  (vb. u/u);[Transport → Maritime];[Transport → Sea];"G. couler (v.i.) ; être submergé, se noyer D. couler (v.t.), submerger ; faire disparaître, supprimer une tablette, une affaire; stat. : être déprimé ; : bâtiment dans le sol : s'enfoncer ;";"G. to sink (v.i.) ; to be submerged, to drown D. to sink (v.t.), submerge ; to suppress a tablet, an affair; stat. : to be depressed ; : building into the ground : to sink ;"
ṭēbû;ṭēbû  (féminin : ṭēbītu);ṭēbû  (feminine : ṭēbītu);"1) : un constructeur subaquatique (?) ; 2) : ṭēbītu(m) : un bateau / navire à grand tirant d'eau ;";"1) : an underwater construction worker (?) ; 2) : ṭēbītu(m) : a ship with deep draught ;";Cf. ṭebû, ṭabiu;Cf. ṭebû, ṭabiu
ṭēbūtu;ṭēbūtu;ṭēbūtu;"la bienfaisance , la bonté , le bien , la grâce accordée , la gentillesse ;";"beneficence / grace , goodness / blessings given , kindness ;";Cf. ṭābtu, ṭēbūtu, tābtānu;Cf. ṭābtu, ṭēbūtu, tābtānu
ṭeḫû;ṭeḫû  [TE : , DA : ]  (vb. e/e);ṭeḫû  [TE : , DA : ]  (vb. e/e);"1) s'approcher , approcher , aborder (quelqu'un) , accoster (quelqu'un) ; 2) connaître sexuellement , coucher (sexuellement) avec , copuler , baiser ; 3) (D) offrir , faire cadeau ; 4) nom : la proximité immédiate , le voisinage immédiat ;";"1) to come near , to come close , to approach 2) to accost , to approach sexually , to have sex with , to get laid with , to fuck 3) (D) to present / to make a gift ; 4) noun : immediate vicinity ;";Cf. ṭaḫû, ṭēḫi;Cf. ṭaḫû, ṭēḫi
ṭēhu;ṭēhu;ṭēhu;"accoster , aborder , approcher importunément , s'adresser agressivement à , prostituée ... : racoler ;";"to accost / to approach boldly , to address boldly / aggressively ;";;
ṭiābu;ṭiābu  [DÙG : , DÙG.GA : ]  (vb. a/i);ṭiābu  [DÙG : , DÙG.GA : ]  (vb. a/i);"G. être bon, en bonne santé ; être amical (envers qqn : +eli, ana) D. rendre bon, améliorer, bonifier ; 2) être devenir utile , servir ;";"G. to be good, in good condition ; to be friendly (towards s.o. : +eli, ana) D. to make good, improve ; 2) to be / become useful , to be of service ;";Cf. ṭiābu, ṭubbātiš, ṭābu;Cf. ṭiābu, ṭubbātiš, ṭābu
ṭīru;ṭīru;ṭīru;;;→ ṭūru;→ ṭūru
ṭubbātiš;ṭubbātiš;ṭubbātiš;"confortablement ;";"comfortably ;";Cf. ṭiābu, ṭubbātiš, ṭābu, ṭūbu;Cf. ṭiābu, ṭubbātiš, ṭābu, ṭūbu
ṭūbu;"ṭūbu  [DÙG : , DÙG.GA : ]  (n. ; tubbu)";"ṭūbu  [DÙG : , DÙG.GA : ]  (n. ; tubbu)";[Vie morale → Conscience];[Moral life → Conscience];"1) bonté , gentillesse , joie , bonheur , prospérité , bon gré , plein gré ; 2) (surtout au pluriel) : du bon temps , jours fastes , prospérité , bonnes relations , bons termes , paix ; 3) satisfaction , contentement , le confort ; [ṭūbu libbi / kabatti] : ""bien-être du coeur / foie"" , bien-être mental , tranquillité d'esprit , sérénité , paix intérieure ; [ṭūbu šīri] : bien-être physique / corporel ;";"1) goodness ; happiness , prosperity , free will ; 2) (especially plural) : good times , prosperity , good relations , peace ; 3) contentedness , satisfaction , comfort ; [ṭūbu libbi / kabatti] : ""well-being of the heart / liver"" , mental well-being , peace of mind , serenity ; [ṭūbu šīri] : physical well-being ;"
ṭulīmu;ṭulīmu  [BI.RI : ];ṭulīmu  [BI.RI : ];[Humain → Corps];[Human → Body];rate (anatomie);spleen
ṭupšarru;ṭupšarru  [(LÚ).DUB.SAR : , LÚ.UMBISAG : , (LÚ).A.BA : , LÚ.UMBISAG2 : , LÚ.GI.BÙR : ]  (n.);ṭupšarru  [(LÚ).DUB.SAR : , LÚ.UMBISAG : , (LÚ).A.BA : , LÚ.UMBISAG2 : , LÚ.GI.BÙR : ]  (n.);[Métiers];[Professions];"un scribe, un lettré, un érudit, un homme de lettres, un secrétaire , un officier d'état civil , un expert en augures , un savant (?) ; rab ṭupšarrī chef des scribes, scribe-en-chef, scribe du roi, de la ville ; ṭupšar Enūma Anu illil astronome, astrologue ;";"a scribe, a scholar, a learned man , an omen expert , a secretary , a registrar ; rab ṭupšarrī chief scribe, scribe of the king, of the city ; ṭupšar Enūma Anu illil astronomer, astrologer , star-gazer ;"
ṭurpu;ṭurpu  ();ṭurpu  ();[Justice];[Legal];"l'appréhension d'un suspect, d'un débiteur ... / la prise de force / la saisie , la capture , le renvoi forcé d'un indésirable ... , la confiscation (?) ;";"forcible removal / kidnapping (?) , seizure / taking by force / taking possession (?) ;"
ṭurru;ṭurru  [DUR : ]  (origine sumérienne);ṭurru  [DUR : ]  (Sumerian origin);[Religion];[Religion];"1) : un nœud , une attache sur tissu, or, roseau ; 2) un bandage , un ruban ; 3) divination / augures : un aspect du foie ou de poumon ; 4) une bande sur porte ; 5) une ficelle pour amulettes en pierre , enfilade d'amulettes en pierre , une suite / une série de pierres ; 6) aussi utilisé en astronomie ;";"1) : binding , a knot in cloth, gold, reed ; 2) a bandage , a ribbon ; 3) divination / omens : a feature on liver / lung ; 4) a band on doors ; 5) string of amulet stones ; 6) also used in astronomy"
ṭurû;ṭurû;ṭurû;;;→ ṭūru;→ ṭūru
ṭūru;ṭūru  [ŠIM.ḪAB : ]  ();ṭūru  [ŠIM.ḪAB : ]  ();[Campagne → Plantes];[Country → Plants];"plante médicinale ? : l'opopanax ;";"a medicinal plant ? : opopanax , opobalsam ;"
a ' lu;a ' lu  [GIŠ.DA : ]  ();a ' lu  [GIŠ.DA : ]  ();[Humain → Famille];[Human → Family];"une tribu , une confédération (?) ;";"a tribe , a confederation (?) ;"
a ' û;a ' û;a ' û;[Humain → Maladie];[Human → Disease];;
a/ina muḫḫi ... nasāku;a/ina muḫḫi ... nasāku;a/ina muḫḫi ... nasāku;[Humain → Parole];[Human → Speech];imposer quelque chose à quelqu' un , enjoindre quelqu' un de faire quelque chose , assigner un travail à quelqu' un , charger quelqu' un d'une tâche;to impose (a task ...) on someone , to enjoin (a task ...) on someone
â;â;â;[Lettres → Langage];[Humanities → Language];;
â;â;â;[Lettres → Langage];[Moral life → Feelings];;
â;â;â;[Lettres → Langage];;;→ ai
â;â;â;[Vie morale → Sentiments];[Humanities → Language];;
â;â;â;[Vie morale → Sentiments];[Moral life → Feelings];;
â;â;â;[Vie morale → Sentiments];;;→ ai
â;â;â;;[Humanities → Language];→ ai;
â;â;â;;[Moral life → Feelings];→ ai;
â;â;â;;;→ ai;→ ai
aʾālu;aʾālu;aʾālu;;;→ eʾēlu;→ eʾēlu
ab abi;ab abi;ab abi;[Humain → Famille];[Human → Family];grand-père;grandfather
ab-abi;ab-abi  ( : ababim);ab-abi  ( : ababim);[Humain → Famille];[Human → Family];"un grand-père , des grands parents ; ab-ummi : grand-père maternel ; ab-abi mot pluriel : grand-parents ;";"grandfather , grandparents ; ab-ummi : maternal grandfather ; ab-abi plural word : grandparents ;"
abāku;"abāku  (vb. a/u ; )";"abāku  (vb. a/u ; )";"G. emmener ; emmener qqn. quelque part ; +vent. : rapporter qqch. ; ana kaspi abāku acheter Gt. emmener D. envoyer, expédier qqch. ; repousser, déplacer ; passer le relais à qqn. Š. faire apporter qqch. par qqn. N. être emmené";"G. to lead away ; to take sth. to swh. ; +vent. : to fetch sth. ; ana kaspi abāku to buy Gt. to lead away D. to dispatch, forward sth. ; to push away, displace ; to shift work onto s.o. Š. to have s.o. bring s.o. N. to be led away";;
abalu;abalu  ();abalu  ();;;→ ablu;→ ablu
abālu;"abālu  [ḪÁD.A : ]  (vb. a/a ; )";"abālu  [ḪÁD.A : ]  (vb. a/a ; )";G. sécher (v.i.), s'assécher D. sécher (v.t.) Dt. être séché Š = D;G. to dry (v.i.), dry out D. to dry (v.t.) Dt. to get dried Š = D;Cf. ablu, ablūtu, ubbulu;Cf. ablu, ablūtu, ubbulu
abālu;"abālu  [ḪÁD.A : ]  (vb. a/a ; )";abālu  ();G. sécher (v.i.), s'assécher D. sécher (v.t.) Dt. être séché Š = D;;Cf. ablu, ablūtu, ubbulu;→ babālu
abālu;"abālu  [ḪÁD.A : ]  (vb. a/a ; )";abālu  ();G. sécher (v.i.), s'assécher D. sécher (v.t.) Dt. être séché Š = D;;Cf. ablu, ablūtu, ubbulu;→ apālu
abālu;abālu  ();"abālu  [ḪÁD.A : ]  (vb. a/a ; )";;G. to dry (v.i.), dry out D. to dry (v.t.) Dt. to get dried Š = D;→ babālu;Cf. ablu, ablūtu, ubbulu
abālu;abālu  ();abālu  ();;;→ babālu;→ babālu
abālu;abālu  ();abālu  ();;;→ babālu;→ apālu
abālu;abālu  ();"abālu  [ḪÁD.A : ]  (vb. a/a ; )";;G. to dry (v.i.), dry out D. to dry (v.t.) Dt. to get dried Š = D;→ apālu;Cf. ablu, ablūtu, ubbulu
abālu;abālu  ();abālu  ();;;→ apālu;→ babālu
abālu;abālu  ();abālu  ();;;→ apālu;→ apālu
abamātu;abamātu;abamātu;[Lettres → Géographie];[Humanities → Geography];": la mer ;";": the sea ;"
aban gabê;aban gabê;aban gabê;[Nature → Minéraux];[Nature → Minerals];"fabrication du verre et médicament / pommade : l'alun ;";"used in glass-making or as a medicine / salve : alum ;"
aban ḫālti;aban ḫālti;aban ḫālti;[Religion];[Religion];amulette de naissance;childbirth amulet
aban lamassi;aban lamassi;aban lamassi;[Religion];[Religion];pierre d' ampulette , amulette en pierre;amulet stone
aban rāmi;aban rāmi;aban rāmi;[Religion];[Religion];charme d'amour (pierre fétiche);love charm
aban suluppi;aban suluppi;aban suluppi;[Campagne → Fruits];[Country → Fruits];"un noyau de datte ;";"a date-stone ;"
aban ṣerru;aban ṣerru;aban ṣerru;[Nature → Minéraux];[Nature → Minerals];pierre serpent , pierre de serpent;snake stone
aban šaddî;aban šaddî;aban šaddî;[Nature → Minéraux];[Nature → Minerals];"roc / rocher / pierre de montagne ;";"mountain rock ;"
aban šamê*;aban šamê*;aban šamê*;[Ciel → Climat];[Sky → Climate];grêlon;hailstone
abārāiu+;abārāiu+;abārāiu+;[Couleurs];[Colors];"couleur de plomb , gris-plomb , livide , pâle , terne , morne , gris , morose , sobre ;";"leaden , lead-gray , livid , drab ;"
abarakkatu;"abarakkatu  [MUNUS.AGRIG : ]  (origine sumérienne ;)";"abarakkatu  [MUNUS.AGRIG : ]  (Sumerian origin ;)";[Métiers];[Professions];"1) intendante , régisseuse , gardienne , maîtresse de maison ; 2) (titre divin) ; 3) une courtisane / concubine / prostituée de luxe (?) ;";"1) stewardess , housekeeper ; 2) (divine title) ; 3) a courtesan ;"
abarakku;abarakku  [(LÚ).AGRIG : , IGI.2.DUB : ];abarakku  [(LÚ).AGRIG : , IGI.2.DUB : ];[Métiers];[Professions];"1) un intendant / régisseur / gardien , un chambellan , un administrateur (temple ou maisonnée) , un trésorier ; 2) (plus tard) : haut fonctionnaire , un Trésorier ; : abarakku rabû : grand chambellan ; 3) (titre divin) ;";"1) a steward , a housekeeper , a (temple or household) administrator , a treasurer; 2) (later) : a high state official , a Treasurer (?) ; : abarakku rabû : Chief Steward , High Chamberlain ; 3) (divine title) ;"
abarakkūtu;abarakkūtu  [MUNUS.AGRIG : ];abarakkūtu  [MUNUS.AGRIG : ];[Métiers];[Professions];"intendance , régie , administration , fonction de régisseuse / intendante ;";"function of stewardess ;"
abaraša;abaraša  (adv., );abaraša  (adv., );[Vie morale → Conscience];[Moral life → Conscience];vraiment, certainement, en vérité, assurément, sans aucun doute, réellement, à coup sûr;truly, certainly
abarša;abarša;abarša;[Vie morale → Conscience];[Moral life → Conscience];;
abāru (2);abāru (2)   (n.);abāru (2)   (n.);"1) sorte d'attache, de pince, d'agrafe ; 2) étreinte, force physique, énergie bēl/gāmer/ša abāri : un lutteur ;";"1) a kind of clamp ; 2) embrace, physical strength, energy ; bēl/gāmer/ša abāri : a wrestler ;";Cf. abāru (3);Cf. abāru (3)
abāru (3);"abāru (3)  ( ; prétérit : ibir)";"abāru (3)  ( ; preterit : ibir)";"1) G: magie ; bras, personnes, étoiles ... : tenir très fort dans ses bras / embrasser / attacher , étreindre / serrer très fort dans les bras , prendre à bras-le-corps , faire de la lutte (?) / lutter (?) ; 2) D : justice : accuser / dénoncer quelqu'un ;";"1) G: magic ; arms, persons, stars ... : to embrace intensely , to bind , to grasp / to clasp , to wrestle (?) ; 2) D : legal : to accuse / to denounce somebody ;";Cf. ibrūtu, ibrētu, abāru (3), ibru, abāru (2);Cf. ibrūtu, ibrētu, abāru (3), ibru, abāru (2)
abāru;abāru  [A.GAR5 : , A.BÁR : ]  (n.);abāru  [A.GAR5 : , A.BÁR : ]  (n.);[Nature → Métaux];[Nature → Metals];"le plomb ; annuku abāru plomb ; (à Aššur) kisal abāri la Cour du Plomb (?)";"lead (metal) ; annuku abāru lead ; (at Aššur) kisal abāri Lead Courtyard (?)"
abasigga;abasigga  (origine sumérienne);abasigga  (Sumerian origin );[Lettres → Géographie → Rivières];[Humanities → Geography → Rivers];"le reflux / retrait des eaux , la marée descendante (?) ;";"receding water ;"
abašlu;abašlu;abašlu;[Lettres → Géographie];[Humanities → Geography];équipe de géomètres(huit à neuf personnes) du cadastre;land-surveyor team (eight or nine people)
abašmu;abašmu;abašmu;[Nature → Minéraux];[Nature → Minerals];"une pierre de lune ;";"moonstone ;"
abattu;"abattu  (n. ; )";"abattu  (n. ; )";[Nature → Minéraux];[Nature → Minerals];"1) gravier / gravier de fleuve ; 2) pilon ; 3) tuyau d'irrigation ; 4) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ; 5) : un noyau de caroube ; 5) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ;";"1) gravel / river-gravel ; 2) pestle ; 3) irrigation pipe ; 4) abatti / agurru / abat gurru : an irrigation pipe of baked bricks / a sort of flour ; 5) : a stone of carob-bean ;"
abattu;"abattu  (n. ; )";abattu;[Nature → Minéraux];[Army → Weapons];"1) gravier / gravier de fleuve ; 2) pilon ; 3) tuyau d'irrigation ; 4) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ; 5) : un noyau de caroube ; 5) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ;";"a slingstone ;"
abattu;abattu;"abattu  (n. ; )";[Armée → Armes];[Nature → Minerals];"un projectile de fronde , une pierre de fronde , un plomb (?) de fronde ;";"1) gravel / river-gravel ; 2) pestle ; 3) irrigation pipe ; 4) abatti / agurru / abat gurru : an irrigation pipe of baked bricks / a sort of flour ; 5) : a stone of carob-bean ;"
abattu;abattu;abattu;[Armée → Armes];[Army → Weapons];"un projectile de fronde , une pierre de fronde , un plomb (?) de fronde ;";"a slingstone ;"
abātu (2);abātu (2)  (vb. a/u);abātu (2)  (vb. a/u);G. fuir, abandonner, se sauver N. s'échapper, déserter;G. to flee, abandon, run away N. to escape, desert;Cf. nābutu, na ' butu, nābudu, abātu (2);Cf. nābutu, na ' butu, nābudu, abātu (2)
abātu;abātu  (vb. a/u);abātu  (vb. a/u);"G. détruire ; ruiner (économie) D. détruire complètement, dévaster, saccager Dt. être complètement détruit Š. faire détruire N. être détruit ; s'effondrer, s'écrouler";"G. to destroy ; to ruin (economy) D. to destroy completely Dt. to be completely destroyed Š. to make destroy N. to be destroyed ; to collapse, fall down";Voir aussi : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû;See also : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû
abātu;abātu  (vb. a/u);abātu  (vb.);"G. détruire ; ruiner (économie) D. détruire complètement, dévaster, saccager Dt. être complètement détruit Š. faire détruire N. être détruit ; s'effondrer, s'écrouler";G. (a/u) to abandon, flee from (a place) N. (i/i) [ZÁḪ : ] to flee Ntn. to run away regularly;Voir aussi : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû;
abātu;abātu  (vb.);abātu  (vb. a/u);G. (a/u) fuir, abandonner (un lieu) N. (i/i) [ZÁḪ : ] fuir Ntn. s'enfuir régulièrement;"G. to destroy ; to ruin (economy) D. to destroy completely Dt. to be completely destroyed Š. to make destroy N. to be destroyed ; to collapse, fall down";;See also : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû
abātu;abātu  (vb.);abātu  (vb.);G. (a/u) fuir, abandonner (un lieu) N. (i/i) [ZÁḪ : ] fuir Ntn. s'enfuir régulièrement;G. (a/u) to abandon, flee from (a place) N. (i/i) [ZÁḪ : ] to flee Ntn. to run away regularly;;
abbūtu ṣabātu;abbūtu ṣabātu;abbūtu ṣabātu;[Humain → Parole];[Human → Speech];"intercéder pour , parler pour , être le porte-parole de , se faire l'avocat de / prendre la défense de (?) / plaider pour (?) , to plead for (?) (;";"to intercede for , to speak for (?) ;"
abbūtu;abbūtu;abbūtu;[Humain → Famille];[Human → Family];"la paternité , le fait d'être père ;";"paternity , being a father ;"
abdu;abdu  (origine sémite occidentale);abdu  (West Semitic origin );[Métiers];[Professions];"serviteur , esclave ;";"servant , slave ;"
abgallu;abgallu;abgallu;;;→ apkallu;→ apkallu
abi ašlim;abi ašlim;abi ašlim;[Métiers];[Professions];"un arpenteur , un géomètre du cadastre ;";"a land surveyor ;"
abiktu;abiktu  [BAD5.BAD5 : ]  ();abiktu  [BAD5.BAD5 : ]  ();[Armée];[Army];"une défaite ; abikta šakānu infliger une défaite ; lipî abiktu : plante : ""le gras de la défaite"" (nom de plante) ;";"defeat ; abikta šakānu to inflict a defeat ; lipî abiktu : plante : ""the fat of defeat"" (name of a plant) ;"
abīuru;abīuru;abīuru;[Campagne → Plantes];[Country → Plants];un navet ressemblant à une grenade;"a pomegranate-like turnip ;"
abkigētu;abkigētu  (origine sumérienne );abkigētu  (Sumerian origin);[Animaux → Domestiques];[Animals → Domestic];"des vaches ;";"cows ;"
abkigu;"abkigu  ( littéraire ; seulement au pluriel abkigētu (origine sumérienne))";"abkigu  ( literary ; only in plural abkigētu (Sumerian origin))";[Animaux → Domestiques];[Animals → Domestic];": une vache ;";": a cow ;"
ablu;ablu  [ḪÁD.A : ]  (adj.);ablu  [ḪÁD.A : ]  (adj.);"viande, bois, asphalte ... : sec , séché , aride ; pluriel : ablūtu : le foin (?) ;";"meat, wood, asphalt ... : dry , dried , arid ; plual : ablūtu : hay (?) ;";Cf. abālu;Cf. abālu
ablūtu;ablūtu  (n.);ablūtu  (n.);[Ciel → Climat];[Sky → Climate];"1) aridité , sécheresse ; 2) le foin (?) ;";"1) aridity , drought ; 2) hay (?) ;"
abnānu;abnānu;abnānu;[Nature → Minéraux];[Nature → Minerals];"rocheux , rocailleux ;";"rocky ;"
abnu mišil uqurtu *;abnu mišil uqurtu *;abnu mišil uqurtu *;[Nature → Minéraux];[Nature → Minerals];pierre semi précieuse;semi precious stone
abnu ṣābittu *;abnu ṣābittu *;abnu ṣābittu *;[Nature → Minéraux];[Nature → Minerals];aimant , pierre aimantée;magnet
