Word;FR title;FR Indication;FR Definition
ṭīru;ṭīru;;→ ṭūru
ṭubbātiš;ṭubbātiš;"confortablement ;";Cf. ṭiābu, ṭubbātiš, ṭābu, ṭūbu
ṭūbu;"ṭūbu  [DÙG : , DÙG.GA : ]  (n. ; tubbu)";[Vie morale → Conscience];"1) bonté , gentillesse , joie , bonheur , prospérité , bon gré , plein gré ; 2) (surtout au pluriel) : du bon temps , jours fastes , prospérité , bonnes relations , bons termes , paix ; 3) satisfaction , contentement , le confort ; [ṭūbu libbi / kabatti] : ""bien-être du coeur / foie"" , bien-être mental , tranquillité d'esprit , sérénité , paix intérieure ; [ṭūbu šīri] : bien-être physique / corporel ;"
ṭulīmu;ṭulīmu  [BI.RI : ];[Humain → Corps];rate (anatomie)
ṭupšarru;ṭupšarru  [(LÚ).DUB.SAR : , LÚ.UMBISAG : , (LÚ).A.BA : , LÚ.UMBISAG2 : , LÚ.GI.BÙR : ]  (n.);[Métiers];"un scribe, un lettré, un érudit, un homme de lettres, un secrétaire , un officier d'état civil , un expert en augures , un savant (?) ; rab ṭupšarrī chef des scribes, scribe-en-chef, scribe du roi, de la ville ; ṭupšar Enūma Anu illil astronome, astrologue ;"
ṭurpu;ṭurpu  ();[Justice];"l'appréhension d'un suspect, d'un débiteur ... / la prise de force / la saisie , la capture , le renvoi forcé d'un indésirable ... , la confiscation (?) ;"
ṭurru;ṭurru  [DUR : ]  (origine sumérienne);[Religion];"1) : un nœud , une attache sur tissu, or, roseau ; 2) un bandage , un ruban ; 3) divination / augures : un aspect du foie ou de poumon ; 4) une bande sur porte ; 5) une ficelle pour amulettes en pierre , enfilade d'amulettes en pierre , une suite / une série de pierres ; 6) aussi utilisé en astronomie ;"
ṭurû;ṭurû;;→ ṭūru
ṭūru;ṭūru  [ŠIM.ḪAB : ]  ();[Campagne → Plantes];"plante médicinale ? : l'opopanax ;"
a ' lu;a ' lu  [GIŠ.DA : ]  ();[Humain → Famille];"une tribu , une confédération (?) ;"
a ' û;a ' û;[Humain → Maladie];
a/ina muḫḫi ... nasāku;a/ina muḫḫi ... nasāku;[Humain → Parole];imposer quelque chose à quelqu' un , enjoindre quelqu' un de faire quelque chose , assigner un travail à quelqu' un , charger quelqu' un d'une tâche
â;â;[Lettres → Langage];
â;â;[Vie morale → Sentiments];
â;â;;→ ai
aʾālu;aʾālu;;→ eʾēlu
ab abi;ab abi;[Humain → Famille];grand-père
ab-abi;ab-abi  ( : ababim);[Humain → Famille];"un grand-père , des grands parents ; ab-ummi : grand-père maternel ; ab-abi mot pluriel : grand-parents ;"
abāku;"abāku  (vb. a/u ; )";"G. emmener ; emmener qqn. quelque part ; +vent. : rapporter qqch. ; ana kaspi abāku acheter Gt. emmener D. envoyer, expédier qqch. ; repousser, déplacer ; passer le relais à qqn. Š. faire apporter qqch. par qqn. N. être emmené";
abalu;abalu  ();;→ ablu
abālu;"abālu  [ḪÁD.A : ]  (vb. a/a ; )";G. sécher (v.i.), s'assécher D. sécher (v.t.) Dt. être séché Š = D;Cf. ablu, ablūtu, ubbulu
abālu;abālu  ();;→ babālu
abālu;abālu  ();;→ apālu
abamātu;abamātu;[Lettres → Géographie];": la mer ;"
aban gabê;aban gabê;[Nature → Minéraux];"fabrication du verre et médicament / pommade : l'alun ;"
aban ḫālti;aban ḫālti;[Religion];amulette de naissance
aban lamassi;aban lamassi;[Religion];pierre d' ampulette , amulette en pierre
aban rāmi;aban rāmi;[Religion];charme d'amour (pierre fétiche)
aban suluppi;aban suluppi;[Campagne → Fruits];"un noyau de datte ;"
aban ṣerru;aban ṣerru;[Nature → Minéraux];pierre serpent , pierre de serpent
aban šaddî;aban šaddî;[Nature → Minéraux];"roc / rocher / pierre de montagne ;"
aban šamê*;aban šamê*;[Ciel → Climat];grêlon
abārāiu+;abārāiu+;[Couleurs];"couleur de plomb , gris-plomb , livide , pâle , terne , morne , gris , morose , sobre ;"
abarakkatu;"abarakkatu  [MUNUS.AGRIG : ]  (origine sumérienne ;)";[Métiers];"1) intendante , régisseuse , gardienne , maîtresse de maison ; 2) (titre divin) ; 3) une courtisane / concubine / prostituée de luxe (?) ;"
abarakku;abarakku  [(LÚ).AGRIG : , IGI.2.DUB : ];[Métiers];"1) un intendant / régisseur / gardien , un chambellan , un administrateur (temple ou maisonnée) , un trésorier ; 2) (plus tard) : haut fonctionnaire , un Trésorier ; : abarakku rabû : grand chambellan ; 3) (titre divin) ;"
abarakkūtu;abarakkūtu  [MUNUS.AGRIG : ];[Métiers];"intendance , régie , administration , fonction de régisseuse / intendante ;"
abaraša;abaraša  (adv., );[Vie morale → Conscience];vraiment, certainement, en vérité, assurément, sans aucun doute, réellement, à coup sûr
abarša;abarša;[Vie morale → Conscience];
abāru (2);abāru (2)   (n.);"1) sorte d'attache, de pince, d'agrafe ; 2) étreinte, force physique, énergie bēl/gāmer/ša abāri : un lutteur ;";Cf. abāru (3)
abāru (3);"abāru (3)  ( ; prétérit : ibir)";"1) G: magie ; bras, personnes, étoiles ... : tenir très fort dans ses bras / embrasser / attacher , étreindre / serrer très fort dans les bras , prendre à bras-le-corps , faire de la lutte (?) / lutter (?) ; 2) D : justice : accuser / dénoncer quelqu'un ;";Cf. ibrūtu, ibrētu, abāru (3), ibru, abāru (2)
abāru;abāru  [A.GAR5 : , A.BÁR : ]  (n.);[Nature → Métaux];"le plomb ; annuku abāru plomb ; (à Aššur) kisal abāri la Cour du Plomb (?)"
abasigga;abasigga  (origine sumérienne);[Lettres → Géographie → Rivières];"le reflux / retrait des eaux , la marée descendante (?) ;"
abašlu;abašlu;[Lettres → Géographie];équipe de géomètres(huit à neuf personnes) du cadastre
abašmu;abašmu;[Nature → Minéraux];"une pierre de lune ;"
abattu;"abattu  (n. ; )";[Nature → Minéraux];"1) gravier / gravier de fleuve ; 2) pilon ; 3) tuyau d'irrigation ; 4) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ; 5) : un noyau de caroube ; 5) abatti / agurru / abat gurru : un tuyau d'irrigation en briques cuites / sorte de fleur ;"
abattu;abattu;[Armée → Armes];"un projectile de fronde , une pierre de fronde , un plomb (?) de fronde ;"
abātu (2);abātu (2)  (vb. a/u);G. fuir, abandonner, se sauver N. s'échapper, déserter;Cf. nābutu, na ' butu, nābudu, abātu (2)
abātu;abātu  (vb. a/u);"G. détruire ; ruiner (économie) D. détruire complètement, dévaster, saccager Dt. être complètement détruit Š. faire détruire N. être détruit ; s'effondrer, s'écrouler";Voir aussi : diāšu, gamāru, ḫalāqu, ḫapû, lapātu, mêsu, qatû
abātu;abātu  (vb.);G. (a/u) fuir, abandonner (un lieu) N. (i/i) [ZÁḪ : ] fuir Ntn. s'enfuir régulièrement;
abbūtu ṣabātu;abbūtu ṣabātu;[Humain → Parole];"intercéder pour , parler pour , être le porte-parole de , se faire l'avocat de / prendre la défense de (?) / plaider pour (?) , to plead for (?) (;"
abbūtu;abbūtu;[Humain → Famille];"la paternité , le fait d'être père ;"
abdu;abdu  (origine sémite occidentale);[Métiers];"serviteur , esclave ;"
abgallu;abgallu;;→ apkallu
abi ašlim;abi ašlim;[Métiers];"un arpenteur , un géomètre du cadastre ;"
abiktu;abiktu  [BAD5.BAD5 : ]  ();[Armée];"une défaite ; abikta šakānu infliger une défaite ; lipî abiktu : plante : ""le gras de la défaite"" (nom de plante) ;"
abīuru;abīuru;[Campagne → Plantes];un navet ressemblant à une grenade
abkigētu;abkigētu  (origine sumérienne );[Animaux → Domestiques];"des vaches ;"
abkigu;"abkigu  ( littéraire ; seulement au pluriel abkigētu (origine sumérienne))";[Animaux → Domestiques];": une vache ;"
ablu;ablu  [ḪÁD.A : ]  (adj.);"viande, bois, asphalte ... : sec , séché , aride ; pluriel : ablūtu : le foin (?) ;";Cf. abālu
ablūtu;ablūtu  (n.);[Ciel → Climat];"1) aridité , sécheresse ; 2) le foin (?) ;"
abnānu;abnānu;[Nature → Minéraux];"rocheux , rocailleux ;"
abnu mišil uqurtu *;abnu mišil uqurtu *;[Nature → Minéraux];pierre semi précieuse
abnu ṣābittu *;abnu ṣābittu *;[Nature → Minéraux];aimant , pierre aimantée
abnu;abnu  [NA4 : ]  (n. m. & f.);[Nature → Minéraux];"1) une pierre , un rocher , un roc ; 2) une pierre précieuse ; aban nisiqtu : une pierre de choix , une pierre précieuse ;"
abrakkatu;abrakkatu;[Métiers];
abrakkūtu;abrakkūtu;[Humain → Famille];"le fait d'être une courtisane / une femme entretenue / une concubine / une maîtresse / une prostituée , la prostitution de luxe (?) ;"
abrātu(m);abrātu(m);[Humain];
abrātu;"abrātu  (n. f. pl. ; )";[Humain → Famille];genre humain, humanité, peuple
abriš;"abriš  (adv. ; )";[Nature];comme un tas de broussailles
abru (1);"abru (1)  ( ; littéraire)";"1) fort (?) / robuste (?) ; 2) féminin pluriel : abrātu(m) : la populace , les gens , l'humanité ;";Variantes : abrātu(m)
abru (2);abru (2)  ();[Animaux → Oiseaux];"1) une aile d'oiseau ; 2) une nageoire de poisson ;"
abru (3);"abru (3)  [IZI.ḪA.MUN : ]  (n. ; ; )";[Nature];"un tas de broussailles pour combustible ;"
abru (4);abru (4);[Religion];"une sorte de prêtre ;"
abrūtu;abrūtu  ();[Religion];"l'état de prêtrise de type abru (4) ;"
abšānu;"abšānu  (n. ; )";[Campagne → Agriculture];joug, harnais
abšu;"abšu  ( ; pluriel : abšena)";[Campagne → Plantes];"une lentille ;"
abtātu;"abtātu  (n. pl. ; )";[Ville → Bâtiments];ruines
abtu;abtu  ();[Ville → Bâtiments];"détruit ; n. f. pl. abtātu : ruines"
Abu;"Abu  [ITI.NE.(NE.GAR) : ]  (n. ; )";[Temps → Mois];Ab, cinquième mois de l'année (à peu près juillet-août)
abu;abu  [AD : ]  (pl. abbū, abbāʾū, st. constr. abi, ab);[Humain → Famille];"1) un père ; 2) un ancêtre ;"
abūbāniš;abūbāniš  ();[Ciel → Climat];comme une inondation, comme un envahissement par les eaux
abūbiš;abūbiš;[Ciel → Climat];
abūbu;abūbu  [A.MA.RU : ]  ();[Ciel → Climat];"1) une inondation , un déluge , une crue violente / un torrent ; ša pān abūbi : antédiluvien , préhistorique , datant d'avant le Déluge / l'inondation ; : ša lām abūbu : antédiluvien ; til abūbu : tas de ruines résultant du Déluge ; 2) (nom du / d'un monstre du Déluge) ; 3) une urgence , un cas d'urgence , une nécessité ; 4) titre divin : crue violente / torrent ;"
abuḫšinnu;abuḫšinnu;[Campagne → Agriculture];céréale récoltée verte
abullu;abullu  [KÁ.GAL : ]  (n. fem.);"1) porte de la ville, passage de porte (ville, palais) ; 2) une borne , un jalon ;";Voir aussi : bābu, maṣṣar bābi, ša pān bābi, atû, bēt abulli, abulmaḫḫu, abultannu
abulmaḫḫu;abulmaḫḫu  (abullu + sumérien maḫ);[Ville → Bâtiments];": une grande porte ;"
abultannu;"abultannu  [LÚ.ABUL : ]  (n., ; abullu + suffixe Hourrite)";[Métiers];gardien de porte, portier
abunnatu;"abunnatu  [LI.DUR : ]  (n. fem. ; )";[Humain → Corps];"nombril, cordon ombilical ; centre ; embout, emboîtement"
abunnutu;abunnutu;[Science → Sciences naturelles];"le cordon ombilical ;"
aburriš;"aburriš  (adv. ; ; littéraire)";[Campagne → Agriculture];"dans une verte prairie , en sécurité / hors de danger , dans la prospérité / dans l'abondance ;"
aburru (1);"aburru (1)  (n. ; )";[Campagne → Agriculture];"pâturage, prairie , sens figuré : situation d'un peuple heureux ;"
aburru;aburru;[Lettres → Géographie → Pays];
abūsātu;"abūsātu  (n. pl. ; )";[Humain → Corps];mèche de cheveux sur le front
abussu;abussu;[Ville → Bâtiments];
abūsu;"abūsu  (n. ; pl. f. ; )";[Ville → Bâtiments];"magasin, entrepôt ; étable"
abutu;"abutu  (pl. abātē ; )";;→ awātu
abutu;abutu  (mot féminin);[Humain → Parole];"parole , sujet (de discussion) , affaire , chose (qui concerne) , déclaration , motif , matière (à discussion) ; abat šarri : la parole du roi ; abutu ana abiti/loc] : (adverbe) : mot pour mot , textuellement , sic ; abutu kunnutu : une certitude , un fait sûr et certain , une chose certaine abutu qallissu : une bagatelle , quelque chose de pas important , une chose de rien du tout , une vétille , une babiole , une broutille , un détail ; bēl abiti : un adversaire ; lā mūdû abiti : un ignorant , un Diafoirus ; libbi abiti : le cœur du sujet , le point crucial , le noeud du sujet , l'essentiel , le point le plus important , le plus important , ce qui compte ; mūdê abiti : adjectif : bien informé , au courant ;"
adagurru;"adagurru  [DUG.A.DA.GUR5 : , DUG.A.DA.GUR4 : , DUG.A.DA.KUR : ]  (n. ; )";[Religion];récipient utilisé lors d'un culte religieux pour les libations
adaguru;adaguru;[Religion];
adakanni;adakanni  ();[Temps];
adakurru;adakurru;[Religion];
adammūmu;"adammūmu  (pl. f. ; )";[Animaux → Insectes];"une guêpe ;"
adanniš adanniš;adanniš adanniš;[Mesures];"extrêmement , exceptionnellement , de trop ;"
adanniš;"adanniš  (adv. ; )";"très , beaucoup , grandement, énormément, extrêmement , tout à fait / parfaitement , intensément , remarquablement / notablement , exceptionnellement ;";Cf. dannu, adanniš adanniš
adannu;adannu;[Temps];"1) un terme , un délai , une date , un temps / un moment / une époque ; 2) une période , un cycle , une phase , une longueur de temps ; ša adanni : périodique / régulier ; šikin adanni : un cadre temporel ; ūm adanni : une date fixée / une date limite / un terme / un délai ultime ;"
adānu;"adānu  [UD.DUG4.GA : , U4.SUR : ]  (pl. f. ; )";[Temps];"1) date fixe, limite de temps ; ūm adāni jour fixé ; ina lā adāni au mauvais moment ; 2) le temps qui passe ; ina ūmīšu / inūmīšu / inūšu : à ce moment-là , à cette époque , en ces jours ; ṣâti : une époque lointaine , les temps lointains ; adverbe : urkītu : ultérieurement , plus tard , après ; nom : arkītu : le temps d'après ; minâti : le temps normal ; ūmu etāqu (Š) : passer le temps ; qudmu : les temps primitifs , les temps primordiaux , les touts premiers temps , au tout début ; mussa ' ' ītu : le temps libre , le loisir ; labāriš ūmē : avec le passage du temps ; ṭuppišu : durant la période convenue , avant la date limite ; ākil simini : qui prend du temps , qui fait perdre le temps ; ultu ulla : il y a longtemps ; simunu : le temps pour ; šikin adanni : un laps de temps , une période , un créneau de temps ; ina tarṣi / kīma simin : à l'époque de , au temps de ; šēzubtu : le temps libre , les loisirs ; šinīšu šalāšīšu : deux ou trois fois , plusieurs fois ; šalāšīšu arbīšu : plusieurs fois ;"
adappu (2);adappu (2)  ();[Ville → Hôtel];"1) une barre horizontale en bois pour bâtiments / métal pour portes 2) une planche (?) ;"
adappu;adappu  ();[Lettres → Géographie → Rivières];
adāru (3);"adāru (3)  [GIŠ.ILDAG2 : ]  (n. ; )";[Campagne → Arbres];un peuplier
adāru;adāru  (vb. a/u);"G. être sombre, s'obscurcir D. assombrir Dt. devenir sombre Š. assombrir N. s'assombrir ; être éclipsé (Astronomie)";Variantes : ḫadāru
adāru;adāru  (vb. a/u);G. avoir peur, craindre D. effrayer N. s'inquiéter de qqch.;
adbaru;adbaru  [(NA4).AD.BAR : ];[Nature → Minéraux];le basalte
addānika;addānika;[Humain → Sens];"attention ! / votre attention s'il vous plaît ! ; lētu nadû / na ' ādu : prêter attention , faire attention ; ēnē šakānu : prêter attention , donner toute son attention (avec les yeux ) ; puqqu : (D) faire attention , prêter attention ; uznu ana X šakānu : être tout ouïe , tourner son attention vers (avec les oreilles) , bien écouter ;"
addāniqa *;addāniqa *;S' il vous plaît;
addanniš;addanniš;;→ adanniš
addāru diri;addāru diri;[Temps → Mois];Adar supplémentaire , treizième mois lunaire du calendrier ( toutes les deux ou trois années)
Addaru;Addaru  [ITI.ŠE.(KIN.KUD) : ]  (n.);[Temps → Mois];"Adar, douzième mois (à peu près février-mars) ; Addaru maḫrû premier Adar ; Addaru arkû Adar intercalaire"
addurāru;addurāru;[Justice];
adê ṣabātu;adê ṣabātu;[Armée → Militaire];"1) G : adhérer à un traité / signer un traité , conclure un traité ; 2) Š : imposer un traité / faire signer un traité ;"
adê;adê;[Gouvernement];"un traité , une convention , un pacte , un serment d'allégeance ; bēl adê : un confédéré , un gardien / signataire (?) du traité ;"
adi , adu , ina;adi , adu , ina;[Temps];"pendant (que) , durant ;"
adi akanni;adi akanni;jusqu'à maintenant;
adi bēt , adu bēt;adi bēt , adu bēt;[Temps];jusqu' à
adi bēt;adi bēt;jusqu' à ce que;
adi darûni;adi darûni;[Humain → Parole];: tant que dureront (le ciel et la terre)
adi maḫru;"adi maḫru  ( ; inscriptions royales assyriennes)";jusqu'à , en direction de , vers;Voir aussi : maḫar, ištu maḫru, maḫrātu, maḫriš, maḫrû (1)
adi;adi  [EN : ];"jusqu'à, aussi loin que, ensemble avec, y compris, plus
adi GN jusqu'à GN ; adi muḫḫīya jusqu'à moi ; adi mešli urḫi jusqu'à la mi-mois ; adi emūqēšu (ensemble) avec ses troupes";Variantes : adu
adiakanni;adiakanni  ();[Temps];
adiānu;adiānu;[Temps];
adikanna;adikanna  ();[Temps];jusqu' à maintenant, jusqu' à présent
adīna;adīna  ();[Temps];
adinakanni;adinakanni  ();[Temps];
adīni lā;adīni lā;[Temps];"pas encore ;"
adīni ul;adīni ul;"pas encore ;";
adīni;adīni;[Temps];"jusqu'à maintenant , jusqu'à présent ; avec negation : pas encore ;"
adīriš;adīriš  ();[Vie morale → Sentiments];craintivement, avec crainte, peureusement
adīriš;adīriš;[Humain → Hygiène];avec crainte, de peur, peureusement, craintivement
adīru;"adīru  (n. ; )";[Vie morale → Sentiments];peur, crainte, appréhension
admūmu;admūmu;[Animaux → Insectes];
adnāti;adnāti;[Lettres → Géographie];"un monde (?) / le monde (?) ;"
adnātu;"adnātu  (n. pl. ; )";[Lettres → Géographie];"le monde les gens , le peuple ;"
adnu;adnu;[Religion];
adrak;adrak;[Vie morale → Sentiments];"désolé , marri ;"
adru;adru  ();[Vie morale → Sentiments];"1) sombre, pas gai, triste , revêche + , grognon , grincheux , ronron , ronchon , maussade , bougon , renfrogné , râleur , mal luné ; 2) (textile ) sombre ;"
adru;"adru  (n. ; pl. m. & f. ; )";[Campagne → Agriculture];"aire de battage (céréales) ; période du battage (pl.)"
adu muḫḫi;adu muḫḫi;[Temps];jusqu' à
adu;adu;;→ adi
adû;"adû  (pl. adû, adê ; )";[Gouvernement];"1) un traité ; adê šakānu établir un traité ; adê tamû prêter serment pour un traité ; adê naṣāru garder un traiter ; bēl adê vassal ; 2) : maintenant ;"
aduakanni;aduakanni  ();[Temps];
adūgu;"adūgu  ( ; origine sumérienne)";[Nourriture → Cuisine];"un four , un fourneau ;"
adunakanni;adunakanni  ();[Temps];
adurtu;adurtu;[Ville];un village
agadibbu;agadibbu  (origine sumérienne );[Campagne → Agriculture];"charrue semeuse à main ;"
agakku;agakku  (origine sumérienne );[Nourriture → Aliments];"le petit lait ;"
agammu;agammu  ();[Lettres → Géographie];"un marais, un lagon ;"
agāmu;"agāmu  (vb. ; )";[Vie morale → Sentiments];G. être furieux D. stat. : être furieux
agāmu;agāmu;[Ciel → Climat];
agana;agana  ();"hé bien , allons ! ;";Cf. gana, ingana, magana
agannu;"agannu  (n. ; pl. f. ; )";[Nourriture → Cuisine];"un grand bol , un chaudron , un amphore ;"
agannû;"agannû  (adj. dem. ; )";celui-ci;
agap īni;agap īni;[Humain → Corps];"un cil ;"
agarinnu;agarinnu;[Humain → Famille];"une mère ;"
agāru;agāru  (vb. a/u);[Métiers];G. embaucher, louer (les services de quelqu'un) D = G
agasalakku *;agasalakku *;[Armée → Armes];sorte de hache
agašgû;"agašgû  (n. ; )";"fils cadet ; subalterne, novice";
aggannu;aggannu  ();[Nourriture → Cuisine];
aggiš;"aggiš  (adv. ; )";furieusement;Cf. aggu
aggu;"aggu  (adj. ; )";[Vie morale → Sentiments];furieux
aggullu;aggullu;[Campagne → Agriculture];
āgilu;āgilu  ();[Métiers];"un lamaneur , un homme qui remorque les bateaux ;"
āgirtu;āgirtu  ();[Humain];"une embaucheuse , une patronne / une maîtresse ;"
agirtum;agirtum  ();[Humain];"une servante sous contrat , une femme de ménage embauchée ;"
āgirum;āgirum  [LÚ.ḪUN : ]  ();[Humain];"un embaucheur , un patron ;"
agittû;"agittû  ( ; origine sumérienne)";"1) un serre-tête , un bandeau ; 2) une bande , un bandage , un pansement ;";Voir aussi : agittû, qaqqadû
Agru;Agru  [ḪUN.GÁ : ]  ();[Ciel → Astronomie → Constellations → Zodiaque];Bélier
agru;agru  [LÚ.ḪUN.GÁ : , ERIN2.ḪUN.GÁ : , LÚ.A.GAR : ]  (pl. agrū, agrūtu, agarrūtu);[Métiers];"1) un salarié, un journalier, un ouvrier embauché , un valet ; 2) constellation : [MUL.LÚ.ḪUN.GÁ : ] : le Lion ;"
agrūtu;agrūtu;[Industrie];"1) : un contrat d'embauche, de location ? ; 2) : wages ;"
agû (1);"agû (1)  [AGA : ]  (Sumerian origin ; origine sumérienne)";"1) une couronne, un diadème ; 2) planètes,soleil ... : un anneau / une couronne / un halo (?) , une circonvolution (?) ; 3) divination : : cercle d'huile / d'encens , une volute ; 4) autour d'une hache : un anneau ;";Cf. agasalakku
agû (2);agû (2)  [A.GI6.A : ]  ([A.GU4 : ] / [A.GA : ]);"1) fleuve : une inondation , un torrent / une vague / un flot , un raz de marée (?) ; 2) sens figuré ; de divinités, démons ... : la colère / la ire / la fureur ;";Cf. egû (4)
agû;agû  [A.GI6.A : , A.GU4 : , A.GA : ]  ();[Ciel → Climat];"vague, raz de marée, inondation ; colère, courroux (dieux, démons)"
